First Name,Last Name,Result,Date Completed,Overall Score,Overall Max Score,Overall Percentage Score,Time Limit,Country,Time Taken,Start Time,End Time,Email,Candidate Id,Exam Code,Exam Name,Exam Id
Sander,Sjögren,Fail,2021-11-09,25.0000,40,62.5%,120,FR,18,08:08,08:27,SanderSjogren@armyspy.com,6223921,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Sander,Sjögren,Fail,2021-12-19,27.0000,40,67.5%,120,FR,37,16:39,17:17,SanderSjogren@armyspy.com,6223921,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Oran,Watson,Fail,2022-01-21,26.0000,40,65.0%,120,SE,67,13:27,14:44,OranWatson@armyspy.com,6332595,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Sally,Petersson,Fail,2022-02-22,31.0000,40,77.5%,120,FR,19,18:51,19:11,SallyPetersson@armyspy.com,6380213,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Lorna,Onio,Fail,2022-04-01,27.0000,40,67.5%,120,CH,48,14:14,15:02,LornaOnio@fleckens.hu,6436111,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Lorna,Onio,Fail,2022-04-06,30.0000,40,75.0%,120,CH,69,09:39,10:49,LornaOnio@fleckens.hu,6436111,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Rebeca,Melo,Fail,2022-04-18,31.0000,40,77.5%,120,ZA,83,02:15,03:39,RebecaCarvalhoMelo@superrito.com,6288135,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Rebeca,Melo,Fail,2022-04-20,28.0000,40,70.0%,120,ZA,93,03:34,05:13,RebecaCarvalhoMelo@superrito.com,6288135,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Antônio,Araujo,Fail,2022-05-30,30.0000,40,75.0%,120,NO,92,01:51,03:24,AntonioRodriguesAraujo@superrito.com,6264529,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Antônio,Araujo,Fail,2022-06-17,31.0000,40,77.5%,120,NO,110,08:13,10:04,AntonioRodriguesAraujo@superrito.com,6264529,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Ladislav,Kuchařík,Fail,2022-07-20,30.0000,40,75.0%,120,HU,26,05:11,05:38,LadislavKucharik@superrito.com,6333940,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Cibor,Zawadzki,Fail,2022-07-20,27.0000,40,67.5%,120,FI,31,02:07,02:39,CiborZawadzki@cuvox.de,6522723,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Muta',Kassis,Fail,2022-07-20,30.0000,40,75.0%,120,NZ,50,07:53,08:43,MutaNuaymKassis@jourrapide.com,6631242,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Ladislav,Kuchařík,Fail,2022-07-22,29.0000,40,72.5%,120,HU,47,06:38,07:26,LadislavKucharik@superrito.com,6333940,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Cibor,Zawadzki,Fail,2022-07-22,31.0000,40,77.5%,120,FI,23,02:33,02:57,CiborZawadzki@cuvox.de,6522723,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Ladislav,Kuchařík,Fail,2022-07-26,29.0000,40,72.5%,120,HU,52,06:29,07:21,LadislavKucharik@superrito.com,6333940,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Duilio,Trentini,Fail,2022-07-29,30.0000,40,75.0%,120,IT,15,22:47,23:03,DuilioTrentini@jourrapide.com,6538666,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Duilio,Trentini,Fail,2022-07-30,30.0000,40,75.0%,120,IT,8,22:58,23:07,DuilioTrentini@jourrapide.com,6538666,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Dennis,Ek,Fail,2022-08-24,28.0000,40,70.0%,120,IT,79,22:40,23:59,DennisEk@jourrapide.com,6651482,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
Isabelle,Ribeiro,Fail,2022-09-22,27.0000,40,67.5%,120,CY,105,00:31,02:19,IsabelleSousaRibeiro@teleworm.us,6778665,PR000006,NMCA: NetMRI Configuration and Administration 7.4,64208
