First Name,Last Name,Result,Date Completed,Overall Score,Overall Max Score,Overall Percentage Score,Time Limit,Country,Time Taken,Start Time,End Time,Email,Candidate Id,Exam Code,Exam Name,Exam Id
Tanguy,Batard,Pass,2023-05-22,9.0000,10,90.0%,60,IS,5,13:30,13:36,TanguyBatard@gustr.com,6413959,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Earl,Alleyne,Pass,2023-05-24,9.0000,10,90.0%,60,TN,2,05:42,05:45,EarlBAlleyne@superrito.com,6116481,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Dirk,Trommler,Pass,2023-05-25,10.0000,10,100.0%,60,TN,5,00:37,00:43,DirkTrommler@superrito.com,6278138,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Jeoffroi,Paiement,Pass,2023-05-30,8.0000,10,80.0%,60,US,8,06:54,07:05,JeoffroiPaiement@cuvox.de,6116525,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Valdemar,Nørgaard,Pass,2023-05-31,8.0000,10,80.0%,60,CY,38,19:26,20:06,ValdemarANorgaard@armyspy.com,6101158,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Bailey,Wilkinson,Pass,2023-06-09,8.0000,10,80.0%,60,NL,21,12:31,12:53,BaileyWilkinson@cuvox.de,6259440,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Ramadan,Handal,Pass,2023-06-12,8.0000,10,80.0%,60,DK,1,01:10,01:12,RamadanWasilHandal@dayrep.com,7002707,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Mineto,Yoshikawa,Pass,2023-06-14,8.0000,10,80.0%,60,PT,20,02:14,02:34,MinetoYoshikawa@fleckens.hu,6289130,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Al Tayyib,Essa,Pass,2023-06-14,10.0000,10,100.0%,60,FI,26,03:57,04:30,AlTayyibKhalilalAllahEssa@einrot.com,6627315,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Hassan,van der Staaij,Pass,2023-06-15,8.0000,10,80.0%,60,BE,9,04:51,05:00,HassanvanderStaaij@jourrapide.com,6840857,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Mohammad,Rasmussen,Pass,2023-06-15,10.0000,10,100.0%,60,FR,10,19:29,19:40,MohammadSRasmussen@armyspy.com,7173365,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Gang,Chung,Pass,2023-06-16,8.0000,10,80.0%,60,PT,11,02:18,02:32,GangChung@dayrep.com,7185076,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Radi,Saliba,Pass,2023-06-21,9.0000,10,90.0%,60,BE,3,05:05,05:08,RadiMuyassarSaliba@teleworm.us,7079178,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Gérard,Plourde,Pass,2023-06-21,9.0000,10,90.0%,60,UY,6,04:51,05:00,GerardPlourde@superrito.com,7086424,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Aksel,Hansen,Pass,2023-06-21,9.0000,10,90.0%,60,PL,3,05:01,05:04,AkselEHansen@gustr.com,7088091,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Deodato,Soria,Pass,2023-06-22,10.0000,10,100.0%,60,CH,28,02:10,03:02,DeodatoSoriaBarajas@armyspy.com,6183336,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Jesse,Christie,Pass,2023-06-23,9.0000,10,90.0%,60,CY,3,01:44,01:48,JesseChristie@superrito.com,6397480,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Kajetan,Zawadzki,Pass,2023-06-23,9.0000,10,90.0%,60,CH,8,01:33,01:42,KajetanZawadzki@rhyta.com,6723546,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
André,Lanoie,Pass,2023-06-25,10.0000,10,100.0%,60,HU,4,21:24,21:29,AndreLanoie@jourrapide.com,6181441,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Isabelle,Pettersson,Pass,2023-06-27,8.0000,10,80.0%,60,GL,42,06:10,06:53,IsabellePettersson@gustr.com,7146466,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Tobiasz,Majewski,Pass,2023-06-28,10.0000,10,100.0%,60,BR,12,01:31,01:44,TobiaszMajewski@dayrep.com,6331227,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Dirk,Reinhard,Pass,2023-06-28,9.0000,10,90.0%,60,ES,12,09:04,09:23,DirkReinhard@dayrep.com,6764763,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Tain,Hsü,Pass,2023-06-28,9.0000,10,90.0%,60,NZ,2,14:35,14:38,TainHsu@gustr.com,6952220,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Dominic,Lepage,Pass,2023-06-29,9.0000,10,90.0%,60,CY,15,08:43,08:59,DominicLepage@einrot.com,7167762,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Alex,Lima,Pass,2023-06-29,8.0000,10,80.0%,60,ZA,7,17:14,20:16,AlexSouzaLima@rhyta.com,7338000,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Alfie,Rahman,Pass,2023-06-30,8.0000,10,80.0%,60,ES,4,10:58,11:03,AlfieRahman@einrot.com,6123792,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Mandy,Herman,Pass,2023-06-30,8.0000,10,80.0%,60,US,32,01:19,01:52,MandyHerman@dayrep.com,6440599,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Atsuhiko,Sugiyama,Pass,2023-06-30,8.0000,10,80.0%,60,NL,2,10:54,10:56,AtsuhikoSugiyama@rhyta.com,6687163,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Manab,Bitar,Pass,2023-07-02,8.0000,10,80.0%,60,CZ,36,17:48,18:50,ManabMuhibbahBitar@armyspy.com,7119159,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Lucas,Carew-Smyth,Pass,2023-07-03,8.0000,10,80.0%,60,US,3,01:48,01:51,LucasCarew-Smyth@cuvox.de,6110357,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Torsten,Ebersbach,Pass,2023-07-04,8.0000,10,80.0%,60,CZ,1,20:38,20:39,TorstenEbersbach@fleckens.hu,6098116,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Alyssa,Gillbee,Pass,2023-07-04,9.0000,10,90.0%,60,TN,5,00:57,01:02,AlyssaGillbee@rhyta.com,6282815,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Tristan,Young,Pass,2023-07-04,9.0000,10,90.0%,60,EE,3,01:07,01:10,TristanYoung@cuvox.de,6282816,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Daniel,Evans,Pass,2023-07-04,10.0000,10,100.0%,60,CY,2,02:00,02:02,DanielEvans@einrot.com,6424977,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Louie,Wyatt,Pass,2023-07-04,8.0000,10,80.0%,60,GL,7,23:43,23:54,LouieWyatt@teleworm.us,6437723,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Alaine,Laboissonnière,Pass,2023-07-04,10.0000,10,100.0%,60,UY,0,02:05,02:06,AlaineLaboissonniere@einrot.com,6789563,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Jamie,Holloway,Pass,2023-07-05,8.0000,10,80.0%,60,IS,27,11:23,11:56,JamieHolloway@superrito.com,7105291,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Merico,Bergamaschi,Pass,2023-07-05,8.0000,10,80.0%,60,UY,4,13:42,13:47,MericoBergamaschi@gustr.com,7106622,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Marta,Potůčková,Pass,2023-07-07,9.0000,10,90.0%,60,ZA,5,03:02,03:07,MartaPotuckova@teleworm.us,6123381,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Jasper,Ordell,Pass,2023-07-07,8.0000,10,80.0%,60,NO,24,04:26,04:51,JasperOrdell@cuvox.de,6519585,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Royden,Royer,Pass,2023-07-07,9.0000,10,90.0%,60,CZ,4,05:51,05:55,RoydenRoyer@fleckens.hu,6733498,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Dai,Yin,Pass,2023-07-08,9.0000,10,90.0%,60,SE,7,03:33,03:44,DaiYin@gustr.com,7173269,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Jiří,Sklenář,Pass,2023-07-10,8.0000,10,80.0%,60,BR,3,04:00,04:04,JiriSklenar@cuvox.de,6818812,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Shing,Ho,Pass,2023-07-10,9.0000,10,90.0%,60,DK,8,04:43,04:51,ShingHo@superrito.com,7095611,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Weronika,Jasińska,Pass,2023-07-12,8.0000,10,80.0%,60,US,19,14:07,14:27,WeronikaJasinska@rhyta.com,6170609,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Warren,Cameron,Pass,2023-07-12,8.0000,10,80.0%,60,UY,34,19:53,20:29,WarrenCameron@cuvox.de,7036965,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Lavinia,Sousa,Pass,2023-07-13,8.0000,10,80.0%,60,CY,1,20:45,20:47,LaviniaCardosoSousa@superrito.com,6389297,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Riku,Kawamoto,Pass,2023-07-13,8.0000,10,80.0%,60,CH,6,15:34,15:40,RikuKawamoto@jourrapide.com,6939559,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Jake,Dempster,Pass,2023-07-14,8.0000,10,80.0%,60,IT,4,05:56,06:00,JakeDempster@rhyta.com,6519776,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Lucas,Rodrigues,Pass,2023-07-17,8.0000,10,80.0%,60,PT,0,17:59,17:59,LucasCastroRodrigues@rhyta.com,6963537,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Mario,Wagner,Pass,2023-07-17,9.0000,10,90.0%,60,DE,16,17:36,17:56,MarioWagner@teleworm.us,7003598,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Josh,Ballew,Pass,2023-07-18,8.0000,10,80.0%,60,NZ,13,12:23,12:40,JoshABallew@gustr.com,6208987,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Douglas,Almeida,Pass,2023-07-18,9.0000,10,90.0%,60,FI,1,04:30,04:31,DouglasMeloAlmeida@gustr.com,6366416,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Ting,Han,Pass,2023-07-18,9.0000,10,90.0%,60,AT,27,18:01,19:07,TingHan@armyspy.com,7096428,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Hardouin,Labrecque,Pass,2023-07-18,9.0000,10,90.0%,60,HU,10,04:15,04:29,HardouinLabrecque@jourrapide.com,7263807,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Robert,Faltejsek,Pass,2023-07-19,9.0000,10,90.0%,60,BE,30,17:31,18:06,RobertFaltejsek@gustr.com,7093430,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
Carlos,Silva,Pass,2023-07-20,10.0000,10,100.0%,60,NO,1,05:47,05:49,CarlosCastroSilva@cuvox.de,6282866,PR000011,Services Certification - BloxOne Threat Defense Quickstart Exam,69449
